date,countLNChannels
2022-11-28,104
2022-11-29,104
2022-11-30,104
2022-12-01,104
2022-12-02,104
2022-12-03,104
2022-12-04,104
2022-12-05,104
2022-12-06,104
2022-12-07,104
2022-12-08,104
2022-12-09,104
2022-12-18,146
2022-12-19,175
2022-12-20,179
2022-12-21,196
2022-12-22,212
2022-12-23,217
2022-12-24,231
2022-12-25,236
2022-12-26,239
2022-12-27,241
2022-12-28,243
2022-12-29,242
2022-12-30,242
2022-12-31,241
2023-01-01,244
2023-01-02,244
2023-01-03,248
2023-01-04,248
2023-01-05,229
2023-01-06,230
2023-01-07,232
2023-01-08,235
2023-01-09,240
2023-01-10,242
2023-01-11,246
2023-01-12,247
2023-01-13,245
2023-01-14,247
2023-01-15,247
2023-01-16,247
2023-01-17,252
2023-01-18,254
2023-01-19,253
2023-01-20,252
2023-01-21,256
2023-01-22,258
2023-01-23,262
2023-01-24,263
2023-01-25,264
2023-01-26,269
2023-01-27,275
2023-01-28,275
2023-01-29,276
2023-01-30,277
2023-01-31,277
2023-02-01,261
2023-02-02,262
2023-02-03,261
2023-02-04,261
2023-02-05,262
2023-02-06,263
2023-02-07,263
2023-02-08,264
2023-02-09,266
2023-02-10,266
2023-02-11,268
2023-02-12,272
2023-02-13,274
2023-02-14,276
2023-02-15,276
2023-02-16,272
2023-02-17,273
2023-02-18,277
2023-02-19,277
2023-02-20,278
2023-02-21,279
2023-02-22,284
2023-02-23,291
2023-02-24,295
2023-02-25,295
2023-02-26,296
2023-02-27,299
2023-02-28,303
2023-03-01,305
2023-03-02,307
2023-03-03,309
2023-03-04,316
2023-03-05,315
2023-03-06,316
2023-03-07,316
2023-03-08,318
2023-03-09,318
2023-03-10,319
2023-03-11,318
2023-03-12,318
2023-03-13,318
2023-03-14,320
2023-03-15,320
2023-03-18,322
2023-03-19,322
2023-03-20,322
2023-03-21,322
2023-03-22,322
2023-03-23,322
2023-03-24,322
2023-03-25,322
2023-03-26,322
2023-03-27,322
2023-03-28,322
2023-04-02,351
2023-04-03,354
2023-04-04,355
2023-04-05,354
2023-04-06,356
2023-04-07,364
2023-04-08,364
2023-04-09,364
2023-04-10,365
2023-04-11,366
2023-04-12,364
2023-04-13,364
2023-04-14,366
2023-04-15,367
2023-04-16,370
2023-04-17,368
2023-04-18,365
2023-04-19,368
2023-04-20,365
2023-04-21,367
2023-04-22,370
2023-04-23,369
2023-04-24,370
2023-04-25,376
2023-04-26,380
2023-04-27,382
2023-04-28,384
2023-04-29,384
2023-04-30,392
2023-05-01,398
2023-05-02,400
2023-05-03,398
2023-05-04,404
2023-05-05,406
2023-05-06,410
2023-05-07,409
2023-05-08,410
2023-05-09,412
2023-05-10,411
2023-05-11,411
2023-05-12,411
2023-05-13,412
2023-05-14,413
2023-05-15,418
2023-05-16,420
2023-05-17,420
2023-05-18,420
2023-05-19,419
2023-05-20,422
2023-05-21,423
2023-05-22,423
2023-05-23,423
2023-05-24,420
2023-05-25,422
2023-05-26,422
2023-05-27,422
2023-05-28,421
2023-05-29,421
2023-05-30,421
2023-05-31,424
2023-06-01,424
2023-06-02,423
2023-06-03,424
2023-06-04,424
2023-06-05,424
2023-06-06,423
2023-06-07,423
2023-06-08,424
2023-06-09,423
2023-06-10,422
2023-06-11,422
2023-06-12,422
2023-06-13,422
2023-06-14,421
2023-06-15,421
2023-06-16,419
2023-06-17,417
2023-06-18,417
2023-06-19,417
2023-06-20,437
2023-06-21,426
2023-06-22,422
2023-06-23,423
2023-06-24,424
2023-06-25,424
2023-06-26,427
2023-06-27,427
2023-06-28,428
2023-06-29,428
2023-06-30,428
2023-07-01,429
2023-07-02,428
2023-07-03,428
2023-07-04,428
2023-07-05,428
2023-07-06,434
2023-07-07,436
2023-07-08,435
2023-07-09,431
2023-07-10,435
2023-07-11,435
2023-07-12,435
2023-07-13,434
2023-07-14,432
2023-07-15,444
2023-07-16,444
2023-07-17,445
2023-07-18,445
2023-07-19,448
2023-07-20,449
2023-07-21,450
2023-07-22,450
2023-07-23,450
2023-07-24,450
2023-07-25,449
2023-07-26,449
2023-07-27,449
2023-07-28,449
2023-07-29,449
2023-07-30,449
2023-07-31,449
2023-08-01,444
2023-08-02,446
2023-08-03,446
2023-08-04,446
2023-08-05,446
2023-08-08,431
2023-08-09,431
2023-08-10,436
2023-08-11,435
2023-08-12,435
2023-08-13,435
2023-08-14,436
2023-08-15,437
2023-08-16,437
2023-08-17,434
2023-08-18,434
2023-08-19,434
2023-08-20,434
2023-08-21,434
2023-08-22,436
2023-08-23,436
2023-08-24,439
2023-08-25,439
2023-08-26,438
2023-08-27,439
2023-08-28,436
2023-08-29,436
2023-08-30,436
2023-08-31,436
2023-09-01,436
2023-09-02,431
2023-09-03,431
2023-09-04,431
2023-09-05,431
2023-09-06,430
2023-09-07,430
2023-09-08,430
2023-09-09,431
2023-09-10,430
2023-09-11,430
2023-09-12,434
2023-09-13,434
2023-09-14,434
2023-09-15,434
2023-09-16,434
2023-09-17,434
2023-09-18,430
2023-09-19,426
2023-09-20,426
2023-09-21,426
2023-09-22,426
2023-09-23,426
2023-09-24,426
2023-09-25,424
2023-09-26,424
