date,sumLNCapacity
2022-11-28,4060060697
2022-11-29,4060060697
2022-11-30,4060060697
2022-12-01,4060060697
2022-12-02,4060060697
2022-12-03,4060060697
2022-12-04,4060060697
2022-12-05,4060060697
2022-12-06,4060060697
2022-12-07,4060060697
2022-12-08,4060060697
2022-12-09,4060060697
2022-12-18,7373660225
2022-12-19,8079156413
2022-12-20,4838501033
2022-12-21,5694251050
2022-12-22,5605451050
2022-12-23,5926451050
2022-12-24,10020471061
2022-12-25,10635672393
2022-12-26,10745773059
2022-12-27,10753773059
2022-12-28,11023773059
2022-12-29,10916873059
2022-12-30,10916873059
2022-12-31,10914223059
2023-01-01,10927223059
2023-01-02,10927223059
2023-01-03,10945223059
2023-01-04,10945223059
2023-01-05,10126615991
2023-01-06,10131615991
2023-01-07,10144115991
2023-01-08,10165215991
2023-01-09,10232263589
2023-01-10,10689163589
2023-01-11,10712163589
2023-01-12,10722163589
2023-01-13,10702167279
2023-01-14,10704167279
2023-01-15,10704167279
2023-01-16,10704167279
2023-01-17,10752167279
2023-01-18,10763167279
2023-01-19,10663167279
2023-01-20,10739167279
2023-01-21,10779317279
2023-01-22,10786417279
2023-01-23,10802417279
2023-01-24,10958417279
2023-01-25,10968417279
2023-01-26,10653318145
2023-01-27,10668718145
2023-01-28,10668718145
2023-01-29,10683718145
2023-01-30,10684718145
2023-01-31,10684718145
2023-02-01,10662517479
2023-02-02,10726517479
2023-02-03,10740517479
2023-02-04,10745017479
2023-02-05,10765017479
2023-02-06,10770017479
2023-02-07,10770017479
2023-02-08,10772017479
2023-02-09,10812107479
2023-02-10,10804607479
2023-02-11,10817607479
2023-02-12,10830507479
2023-02-13,10835507479
2023-02-14,10850607479
2023-02-15,10876507479
2023-02-16,10845507479
2023-02-17,10945507479
2023-02-18,11085507479
2023-02-19,11085507479
2023-02-20,11094507479
2023-02-21,11090507479
2023-02-22,11149607479
2023-02-23,11403607479
2023-02-24,11427007478
2023-02-25,11420107478
2023-02-26,11420207478
2023-02-27,11427207478
2023-02-28,11538307478
2023-03-01,11548507478
2023-03-02,11649907478
2023-03-03,11661087478
2023-03-04,11689187478
2023-03-05,11688187478
2023-03-06,11707087477
2023-03-07,11707087477
2023-03-08,11827087477
2023-03-09,11827087477
2023-03-10,11837087477
2023-03-11,12035087477
2023-03-12,12035087477
2023-03-13,12040887477
2023-03-14,12250887477
2023-03-15,12250887477
2023-03-18,12252887477
2023-03-19,12252887477
2023-03-20,12252887477
2023-03-21,12252887477
2023-03-22,12252887477
2023-03-23,12252887477
2023-03-24,12252887477
2023-03-25,12252887477
2023-03-26,12252887477
2023-03-27,12252887477
2023-03-28,12252887477
2023-04-02,12916337477
2023-04-03,12936437477
2023-04-04,13036437477
2023-04-05,12982937477
2023-04-06,13014437477
2023-04-07,13456647477
2023-04-08,13456647477
2023-04-09,13456647477
2023-04-10,13556647477
2023-04-11,13655647477
2023-04-12,13650647477
2023-04-13,13654547477
2023-04-14,13706547477
2023-04-15,14247547477
2023-04-16,14776047477
2023-04-17,14576047477
2023-04-18,13988847477
2023-04-19,14063847477
2023-04-20,13872462318
2023-04-21,13913536378
2023-04-22,14768391008
2023-04-23,14768291008
2023-04-24,14817291008
2023-04-25,15386063197
2023-04-26,15703063197
2023-04-27,15900982527
2023-04-28,16194982527
2023-04-29,16194982527
2023-04-30,16363978837
2023-05-01,16447978837
2023-05-02,16449978837
2023-05-03,16438978837
2023-05-04,16652065867
2023-05-05,16654015867
2023-05-06,16696115867
2023-05-07,16666115867
2023-05-08,16716115867
2023-05-09,16717215867
2023-05-10,16731215867
2023-05-11,16731215867
2023-05-12,16731215867
2023-05-13,16732215867
2023-05-14,16737215867
2023-05-15,17252189927
2023-05-16,17254089926
2023-05-17,17254089926
2023-05-18,17263989926
2023-05-19,17652989926
2023-05-20,17663989926
2023-05-21,17664089926
2023-05-22,17664089926
2023-05-23,17664089926
2023-05-24,17621580646
2023-05-25,17686819976
2023-05-26,17686819976
2023-05-27,17686819976
2023-05-28,17685819976
2023-05-29,17685819976
2023-05-30,17685819976
2023-05-31,17687009976
2023-06-01,17687009976
2023-06-02,17757009976
2023-06-03,17760097006
2023-06-04,17760097006
2023-06-05,17739097006
2023-06-06,17736509976
2023-06-07,17736509976
2023-06-08,17737509976
2023-06-09,17715509976
2023-06-10,17675509976
2023-06-11,17675509976
2023-06-12,17675509976
2023-06-13,17675509976
2023-06-14,17665509976
2023-06-15,17665509976
2023-06-16,17445509976
2023-06-17,17405509976
2023-06-18,17405509976
2023-06-19,17405509976
2023-06-20,18560997006
2023-06-21,18203344036
2023-06-22,18109804037
2023-06-23,18210804037
2023-06-24,18219904037
2023-06-25,18219904037
2023-06-26,18524891067
2023-06-27,19023891067
2023-06-28,19223891067
2023-06-29,19218891067
2023-06-30,19218891067
2023-07-01,19220891067
2023-07-02,19217891067
2023-07-03,19217891067
2023-07-04,19217891067
2023-07-05,19217891067
2023-07-06,19526891067
2023-07-07,19566891067
2023-07-08,19516891067
2023-07-09,18901891067
2023-07-10,19031891067
2023-07-11,19031891067
2023-07-12,19001891067
2023-07-13,18981891067
2023-07-14,19002891067
2023-07-15,19361184037
2023-07-16,19361184037
2023-07-17,19371284037
2023-07-18,19371284037
2023-07-19,19383284037
2023-07-20,19380284037
2023-07-21,19382284037
2023-07-22,19382284037
2023-07-23,19382284037
2023-07-24,19382284037
2023-07-25,19362284037
2023-07-26,19355284037
2023-07-27,19150284037
2023-07-28,19150284037
2023-07-29,19140284037
2023-07-30,19140284037
2023-07-31,19215284037
2023-08-01,18603584037
2023-08-02,18953584037
2023-08-03,18953584037
2023-08-04,18953584037
2023-08-05,18953584037
2023-08-08,17997290401
