date,countNodes
2022-11-28,110
2022-11-29,108
2022-11-30,111
2022-12-01,112
2022-12-02,106
2022-12-03,104
2022-12-04,105
2022-12-05,103
2022-12-06,103
2022-12-07,106
2022-12-08,94
2022-12-09,93
2022-12-10,94
2022-12-11,89
2022-12-12,83
2022-12-13,78
2022-12-14,81
2022-12-15,83
2022-12-16,79
2022-12-17,78
2022-12-18,76
2022-12-19,67
2022-12-20,64
2022-12-21,65
2022-12-22,64
2022-12-23,64
2022-12-24,67
2022-12-25,70
2022-12-26,69
2022-12-27,72
2022-12-28,74
2022-12-29,82
2022-12-30,84
2022-12-31,83
2023-01-01,79
2023-01-02,70
2023-01-03,62
2023-01-04,61
2023-01-05,53
2023-01-06,51
2023-01-07,59
2023-01-08,56
2023-01-09,60
2023-01-10,66
2023-01-11,67
2023-01-12,66
2023-01-13,65
2023-01-14,66
2023-01-15,75
2023-01-16,82
2023-01-17,88
2023-01-18,82
2023-01-19,84
2023-01-20,81
2023-01-21,83
2023-01-22,80
2023-01-23,184
2023-01-24,188
2023-01-25,188
2023-01-26,186
2023-01-27,188
2023-01-28,186
2023-01-29,187
2023-01-30,188
2023-01-31,187
2023-02-01,187
2023-02-02,188
2023-02-03,184
2023-02-04,185
2023-02-05,185
2023-02-06,182
2023-02-07,187
2023-02-08,185
2023-02-09,185
2023-02-10,186
2023-02-11,186
2023-02-12,187
2023-02-13,186
2023-02-14,186
2023-02-15,183
2023-02-16,183
2023-02-17,181
2023-02-18,181
2023-02-19,181
2023-02-20,178
2023-02-21,178
2023-02-22,177
2023-02-23,177
2023-02-24,175
2023-02-25,178
2023-02-26,178
2023-02-27,177
2023-02-28,176
2023-03-01,176
2023-03-02,173
2023-03-03,172
2023-03-04,172
2023-03-05,175
2023-03-06,173
2023-03-07,173
2023-03-08,172
2023-03-09,171
2023-03-10,171
2023-03-11,172
2023-03-12,169
2023-03-13,175
2023-03-14,174
2023-03-15,174
2023-03-16,175
2023-03-17,173
2023-03-18,174
2023-03-19,174
2023-03-20,175
2023-03-21,174
2023-03-22,173
2023-03-23,170
2023-03-24,171
2023-03-25,167
2023-03-26,169
2023-03-27,166
2023-03-28,166
2023-03-29,162
2023-03-30,166
2023-03-31,165
2023-04-01,166
2023-04-02,164
2023-04-03,165
2023-04-04,165
2023-04-05,165
2023-04-06,164
2023-04-07,166
2023-04-08,164
2023-04-09,170
2023-04-10,168
2023-04-11,168
2023-04-12,167
2023-04-13,168
2023-04-14,168
2023-04-15,168
2023-04-16,167
2023-04-17,169
2023-04-18,171
2023-04-19,170
2023-04-20,168
2023-04-21,169
2023-04-22,170
2023-04-23,170
2023-04-24,168
2023-04-25,167
2023-04-26,169
2023-04-27,166
2023-04-28,163
2023-04-29,165
2023-04-30,167
2023-05-01,166
2023-05-02,167
2023-05-03,165
2023-05-04,165
2023-05-05,168
2023-05-06,167
2023-05-07,166
2023-05-08,168
2023-05-09,164
2023-05-10,160
2023-05-11,154
2023-05-12,154
2023-05-13,155
2023-05-14,152
2023-05-15,147
2023-05-16,152
2023-05-17,152
2023-05-18,148
2023-05-19,147
2023-05-20,148
2023-05-21,146
2023-05-22,148
2023-05-23,147
2023-05-24,149
2023-05-25,145
2023-05-26,150
2023-05-27,149
2023-05-28,149
2023-05-29,147
