date,antpool.com,coinmine.pl,f2pool.com,pool.btc.com,poolin.me
2022-09-15,2.91,0.48484,49.53,2.74,35.28
2022-09-16,2.79,0.52631,50.01,2.14,32.22
2022-09-17,3.31,0.45749,50.15,2.65,28.42
2022-09-18,2.96,0.5814900000000001,51.01,2.44,26.99
2022-09-19,2.18,0.52558,50.73,2.74,32.76
2022-09-20,2.17,0.4965,26.28,2.84,32.51
2022-09-21,3.21,0.5073799999999999,51.59,2.68,26.16
2022-09-22,3.29,0.5026700000000001,46.9,2.72,20.52
2022-09-23,3.38,0.5225299999999999,51.7,2.51,34.74
2022-09-24,3.31,0.5345599999999999,51.95,2.33,39.33
2022-09-25,1.74,0.52912,52.19,2.64,31.25
2022-09-26,1.53,0.48388,51.45,2.57,33.6
2022-09-27,1.8,0.4810299999999999,52.31,2.82,33.77
2022-09-28,1.79,0.44059,40.22,2.74,33.58
2022-09-29,1.79,0.49132,40.07,3.62,35.68
2022-09-30,2.86,0.51046,40.16,3.67,39.1
2022-10-01,2.6,0.4795,38.73,4.04,25.51
2022-10-02,2.56,0.57308,39.64,4.02,34.74
2022-10-03,2.42,0.55674,40.64,4.01,41.57
2022-10-04,1.96,0.5450499999999999,43.24,3.83,31.16
2022-10-05,2.19,0.5404500000000001,43.9,3.94,30.81
2022-10-06,2.6,0.53787,43.95,3.77,33.18
2022-10-07,2.55,0.5151100000000001,44.3,4.12,39.07
2022-10-08,1.91,0.5253099999999999,37.12,3.86,32.35
2022-10-09,2.42,0.60127,46.15,3.85,38.01
2022-10-10,2.77,0.52588,47.0,3.84,39.42
2022-10-11,2.66,0.52566,46.29,3.9,29.94
2022-10-12,2.56,0.5458999999999999,46.62,3.48,31.67
2022-10-13,2.35,0.7810199999999999,46.91,3.58,30.19
2022-10-14,2.04,0.6193500000000001,47.87,3.45,31.03
2022-10-15,2.21,0.61842,47.55,3.34,31.76
2022-10-16,2.57,0.56232,47.01,3.43,29.39
2022-10-17,2.28,0.4806,46.72,3.57,29.75
2022-10-18,2.73,0.59996,45.35,3.41,36.29
